Algae,Round ,Day ,Treatment,Replicate,Chl,OD750,OD750_filt,AlgaeConc,BacteriaConc,DOC,TDN,BulkLipids,ExtLipids,Salinity,FvFm,PC,PN,Vol,pH,PO4,NH4,Si,DIC,TOC_rate,POC_rate
C323,1,2,R,E,22.7,0.058,0.042,0.316,5.493,84.4,283.3,NA,NA,NA,0.559,15.08,2.4,24.4,8.561,NA,NA,NA,4967,574.4,538.2
C323,1,2,R,F,21.1,0.056,0.0437,0.24,6.197,86.4,290,NA,NA,NA,0.556,12.18,2.01,24.7,8.568,NA,NA,NA,5188,580.3,538.4
C323,1,3,F,A,137,0.0953,NA,1.589,6.549,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.562,NA,NA,NA,NA,NA,NA
C323,1,3,F,B,111,0.0837,NA,1.309,5.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.696,NA,NA,NA,NA,NA,NA
C323,1,3,F,C,147,0.0987,NA,1.629,5.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.736,NA,NA,NA,NA,NA,NA
C323,1,3,R,D,62,0.0643,NA,0.508,11.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.64,NA,NA,NA,NA,NA,NA
C323,1,3,R,E,53.5,0.0663,NA,0.605,9.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.649,NA,NA,NA,NA,NA,NA
C323,1,3,R,F,49.5,0.0653,NA,0.536,10.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.665,NA,NA,NA,NA,NA,NA
C323,1,4,F,A,152,0.16,NA,2.355,11.21,75.9,10.5,NA,NA,NA,0.586,109.05,7.69,25.5,8.66,22.4,1.5,125.4,2628,4496.8,3206.9
C323,1,4,F,B,144,0.16,NA,2.401,9.71,64.9,9.6,NA,NA,NA,0.558,110.16,7.87,25.8,8.67,24.3,2.1,164.9,2618,4083.2,3200.7
C323,1,4,F,C,139,0.15,NA,1.754,10.3,87.7,10.7,NA,NA,NA,0.549,115.21,7.51,25.6,8.89,22.2,0.5,164.1,2283,3486.8,2811.5
C323,1,4,R,D,111,0.11,NA,1.473,16.8,108.3,18,NA,NA,NA,0.581,63.82,7.39,24.7,8.79,22.2,1.9,216.6,4320,4511.5,3721.7
C323,1,4,R,E,115,0.1277,NA,1.543,16.654,114.8,19,NA,NA,NA,0.575,76.01,7.2,24.6,8.828,17.9,2.1,152.6,4379,4245.5,3388.3
C323,1,4,R,F,106,0.12,NA,1.406,16.42,116.2,19.2,NA,NA,NA,0.577,58.19,7.25,24.7,8.75,19.4,3,215.9,4827,4210.8,3503.3
C323,1,5,F,A,186,0.24,0.043,3.713,13.042,120.1,13.2,90411.7,NA,34,0.541,182.53,8.46,25.7,8.552,0,4.3,0,2725,3561.1,2881.8
C323,1,5,F,B,176,0.21,0.0447,3.373,11.715,87.1,10.1,94036.7,130.3,34,0.531,167.47,8.21,27.4,8.679,0,1.3,0,2547,3363.3,2367
C323,1,5,F,C,167,0.2103,0.044,2.62,13.504,87.9,11,107210,287.7,33,0.524,162.1,7.43,26,8.713,1.4,2,78.7,2457,2215.1,1777.4
C323,1,5,R,D,154,0.1743,0.0443,2.685,21.433,117.7,19.1,57398.3,45,32,0.545,116.98,7.46,24.2,8.777,46.6,1.3,0,4325,3776.8,2476.2
C323,1,5,R,E,150,0.1773,0.043,2.617,20.32,138.4,20.1,71060,36.7,32,0.536,152.22,7.37,24.9,8.757,41.5,1.7,0,4368,3214.8,2415.5
C323,1,5,R,F,132,0.1567,0.044,1.406,21.248,112.4,18.7,29775,45,33,0.533,100.37,7.38,25.5,9.361,49.2,4.5,34.6,3571,2609.6,2342.3
C323,2,0,F,A,5.73,0.0503,0.0443,0.048,0.449,43.5,420.9,223,39.7,33,0.603,2.86,0.27,26.6,7.735,116.2,383.1,572.6,3764,136.1,127.5
C323,2,0,F,B,5.97,0.046,0.0517,0.045,0.469,35.4,412.4,236.7,43.7,33,0.569,1.77,0.06,27,7.712,119.4,412.1,592.4,3754,143,137.9
C323,2,0,F,C,5.73,0.0483,0.0523,0.05,0.443,33,409.1,273.3,32,33,0.569,2.23,0.36,26.8,7.736,125.9,356.3,579.8,3759,149.1,139.3
C323,2,0,R,D,6.14,0.0497,0.0447,0.018,0.754,146,497.1,244.3,53.3,32,0.541,2.24,0,26.1,8.571,85.8,380.6,1098.4,7863,138.5,130
C323,2,0,R,E,5.66,0.0463,0.0433,0.024,0.559,133.9,483.3,222.7,52.3,32,0.56,1.97,0,26.5,8.607,82.5,368.3,889.5,8040,132.7,124.1
C323,2,0,R,F,5.62,0.0467,0.044,0.022,0.536,123.1,483,260,61,32,0.539,2.27,0.25,25.8,8.745,57.5,386.7,855.3,7532,114.5,108.8
C323,2,1,F,A,11.3,0.0513,NA,0.104,1.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.294,NA,NA,NA,NA,NA,NA
C323,2,1,F,B,12.8,0.049,NA,0.143,1.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.32,NA,NA,NA,NA,NA,NA
C323,2,1,F,C,12.4,0.049,NA,0.145,1.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.321,NA,NA,NA,NA,NA,NA
C323,2,1,R,D,5.99,0.0493,NA,0.047,2.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.648,NA,NA,NA,NA,NA,NA
C323,2,1,R,E,6.54,0.0487,NA,0.035,2.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.697,NA,NA,NA,NA,NA,NA
C323,2,1,R,F,6.26,0.0493,NA,0.036,2.378,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.722,NA,NA,NA,NA,NA,NA
C323,2,2,F,A,35.3,0.0633,0.0437,0.498,3.149,55.6,240.4,NA,NA,NA,0.603,17.94,3.04,25.2,8.332,NA,NA,NA,3083,1106.4,1060.7
C323,2,2,F,B,39.3,0.0657,0.0467,0.505,2.733,34,223.7,NA,NA,NA,0.571,20.72,3.56,25.7,8.404,NA,NA,NA,3104,1212.3,1139.4
C323,2,2,F,C,38.2,0.0643,0.0433,0.539,2.467,34.6,229.5,NA,NA,NA,0.574,18.82,3.29,24.6,8.428,NA,NA,NA,3096,1143.5,965.2
C323,2,2,R,D,4.86,0.048,0.0433,0.015,4.879,136.6,419.9,NA,NA,NA,0.464,4.63,0.4,23.2,8.666,NA,NA,NA,7579,56.1,47.1
C323,2,2,R,E,5.52,0.049,0.0437,0.019,4.297,118.3,401.1,NA,NA,NA,0.447,4.59,0.48,25.3,8.663,NA,NA,NA,7715,59.7,59.6
C323,2,2,R,F,4.85,0.049,0.0437,0.022,4.848,123.1,399.8,NA,NA,NA,0.437,4.18,0,22.7,8.68,NA,NA,NA,7685,53.5,48.3
C323,2,3,F,A,115,0.0947,NA,1.511,5.378,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.589,NA,NA,NA,NA,NA,NA
C323,2,3,F,B,110,0.092,NA,1.382,5.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.561,NA,NA,NA,NA,NA,NA
C323,2,3,F,C,119,0.0953,NA,1.549,5.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.659,NA,NA,NA,NA,NA,NA
C323,2,3,R,D,4.11,0.049,NA,0.023,8.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.633,NA,NA,NA,NA,NA,NA
C323,2,3,R,E,5.37,0.05,NA,0.017,8.817,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.686,NA,NA,NA,NA,NA,NA
C323,2,3,R,F,5.04,0.052,NA,0.016,8.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.696,NA,NA,NA,NA,NA,NA
C323,2,4,F,A,150,0.1583,0.044,2.883,10.991,87.8,10.2,NA,NA,NA,0.572,111.55,7.71,24.6,8.74,33.1,0,0,2595,4029.7,2673.6
C323,2,4,F,B,151,0.154,0.0433,2.342,10.667,79.1,9.6,NA,NA,NA,0.559,98.98,7.62,24.2,8.766,35.8,0,77.4,2622,4110.7,2747.4
C323,2,4,F,C,155,0.1583,0.0447,2.823,10.291,80.8,10.1,NA,NA,NA,0.557,111.19,7.24,24,8.735,32,0,0,2671,4126.4,2549.4
C323,2,4,R,D,4.15,0.0493,0.0437,0.029,10.806,167.9,358.9,NA,NA,NA,0.464,7.66,0.11,25,8.647,115.6,258.3,727.5,7535,35.4,33.4
C323,2,4,R,E,5.51,0.053,0.0437,0.015,11.137,133.4,330.5,NA,NA,NA,0.5,6.62,0.6,24.1,8.646,109.7,250.6,783.3,7689,56.1,50.5
C323,2,4,R,F,5.27,0.0503,0.043,0.018,10.639,124.8,339.1,NA,NA,NA,0.479,7.01,0.78,25,8.67,95.5,296.9,743.7,7709,68.2,57.4
C323,2,5,F,A,176,0.2167,0.0437,3.653,13.113,88.1,10.6,82345,13.3,33,0.537,164.73,7.59,25.2,8.695,3.3,0.8,0,2637,3448.3,2685.7
C323,2,5,F,B,177,0.2223,0.046,3.237,12.593,112.2,12.8,69951.7,27.7,33,0.53,167.35,8,26.6,8.686,9.8,0,0,2691,3611.8,2880.1
C323,2,5,F,C,174,0.2133,0.0447,3.45,13.155,114.1,12.1,89456.7,31.3,33,0.526,165.13,7.44,26,8.808,2.2,0,0,2529,3360.9,2765.4
C323,2,5,R,D,4.35,0.0533,0.0433,0.014,13.173,143.3,332.8,1807.3,66.7,33,0.46,9.4,0.86,23.4,8.682,114,248.1,730.2,7519,41,40.7
C323,2,5,R,E,6.54,0.0557,0.044,0.022,13.724,167.8,305.7,1956.3,61,32,0.533,8.65,1.01,23.5,8.666,104.2,276.8,726.6,7671,94.6,87.9
C323,2,5,R,F,6.54,0.0537,0.0437,0.022,16.089,127.7,305.9,1928.7,58.7,32,0.543,7.36,1,23.9,8.681,95.5,229.5,735.6,7740,114.9,106.3
C323,3,0,F,A,6.52,0.0467,0.0537,0.038,0.643,29.9,407.3,661.7,13.3,33,0.555,2.44,0.31,24.2,7.936,114.6,393.1,626.8,3648,15.5,14
C323,3,0,F,B,6.5,0.0457,0.0463,0.037,0.692,41,410.2,665.3,10,33,0.544,2.83,0.25,25.9,7.856,108.1,375.1,645.4,3659,97.8,85.7
